PRN,Sys,El(°),Az(°),Freq,SNR,Pseudorange (m),Phase (cyc)
C02,BDS,33.3,216.9,7I,41.8,37732547.63808577,151933401.9760771
C03,BDS,44.1,181.4,2I,44.7,36958737.349814884,192453891.733897
C03,BDS,44.1,181.4,6I,38.4,36958732.545281336,156384548.56814295
C03,BDS,44.1,181.4,7I,40.1,36958731.02473916,148817548.64341623
C08,BDS,66.0,263.6,2I,28.8,36658039.42207344,190888094.00440413
C13,BDS,57.8,254.1,2I,32.4,37037401.51303166,192863561.69575444
C13,BDS,57.8,254.1,6I,31.5,37037400.4263717,156717463.43588278
C13,BDS,57.8,254.1,7I,28.1,37037400.58886813,149134370.27486503
C33,BDS,45.8,206.2,1P,47.6,23322500.83125562,122560599.71819283
C33,BDS,45.8,206.2,2I,48.6,23322502.609223403,121446422.69574158
C33,BDS,45.8,206.2,5P,47.1,23322527.3728972,91522645.86648645
C33,BDS,45.8,206.2,6I,48.1,23322514.04148925,98685226.34015544
C33,BDS,45.8,206.2,7D,46.0,23322525.98023022,93910184.96607871
C59,BDS,36.9,138.4,2I,45.1,37934388.187098674,197534367.8518254
C59,BDS,36.9,138.4,6I,39.3,37934372.6416071,160512811.8483271
C59,BDS,36.9,138.4,7D,45.8,37934375.13656943,152746070.90035936
C60,BDS,32.4,222.6,2I,39.7,38097653.19040547,198384527.29198116
C60,BDS,32.4,222.6,6I,40.6,38097635.56540635,161203630.58082137
C60,BDS,32.4,222.6,7D,39.9,38097637.55054312,153403469.05719933
E04,GAL,46.9,114.4,5Q,26.0,24723368.856463443,97020419.78564794
E04,GAL,46.9,114.4,6C,26.8,24723367.50176814,105456882.09082697
E04,GAL,46.9,114.4,7Q,30.9,24723369.432181027,99551353.00394802
E04,GAL,46.9,114.4,8Q,31.8,24723368.257851172,98285902.42702116
E06,GAL,38.7,149.6,1C,44.2,25339528.96201753,133160505.53433476
E06,GAL,38.7,149.6,5Q,44.0,25339531.31849493,99438260.54364695
E06,GAL,38.7,149.6,6C,42.4,25339527.189633813,108084882.53271498
E06,GAL,38.7,149.6,7Q,44.8,25339530.321180087,102032193.75168449
E06,GAL,38.7,149.6,8Q,47.4,25339529.925269548,100735223.67999801
E09,GAL,22.9,172.0,1C,41.6,26649180.192755822,140042529.28501976
E09,GAL,22.9,172.0,5Q,38.5,26649183.118808333,104577315.1093357
E09,GAL,22.9,172.0,6C,35.9,26649179.97386029,113670911.81149764
E09,GAL,22.9,172.0,7Q,42.7,26649182.458771296,107305402.51561986
E09,GAL,22.9,172.0,8Q,43.9,26649182.47105625,105941359.34252207
E16,GAL,12.1,197.7,5Q,27.6,27663313.905317407,108556637.28391458
E16,GAL,12.1,197.7,6C,29.5,27663308.24195394,117996349.65420818
E16,GAL,12.1,197.7,7Q,28.2,27663312.33005135,111388548.96560293
E16,GAL,12.1,197.7,8Q,30.9,27663312.048614237,109972597.1740165
E25,GAL,29.6,244.5,1C,33.2,26001053.428118147,136636452.97145823
E25,GAL,29.6,244.5,5Q,32.5,26001055.38142572,102033725.4477752
E25,GAL,29.6,244.5,6C,33.7,26001050.79076204,110906210.0797944
E25,GAL,29.6,244.5,7Q,31.9,26001053.758136664,104695468.43398432
E25,GAL,29.6,244.5,8Q,35.2,26001054.10714102,103364597.97811915
G05,GPS,59.8,266.4,1C,31.9,20907456.578613322,109869645.1269964
G05,GPS,59.8,266.4,1W,14.1,20907456.154224027,109869645.1269964
G05,GPS,59.8,266.4,2W,14.1,20907454.996087976,85612796.34405077
G09,GPS,10.1,37.8,1C,30.5,24477802.26715777,128631701.19030021
G09,GPS,10.1,37.8,1W,19.6,24477801.981253404,128631701.19030021
G09,GPS,10.1,37.8,2L,31.9,24477799.001593824,100232510.20627934
G09,GPS,10.1,37.8,2W,19.6,24477800.314408608,100232498.24116117
G09,GPS,10.1,37.8,5Q,38.0,24477800.85718018,96056153.89033876
G12,GPS,19.8,229.6,1C,41.4,24008429.44696783,126165148.05667241
G12,GPS,19.8,229.6,1W,29.7,24008428.80424141,126165148.05667241
G12,GPS,19.8,229.6,2L,33.4,24008428.6032149,98310500.80792588
G12,GPS,19.8,229.6,2W,29.7,24008428.178825606,98310494.79135388
G13,GPS,23.3,171.5,1C,41.4,23194418.595666256,121887629.97691767
G13,GPS,23.3,171.5,1W,22.2,23194417.88034693,121887629.97691767
G13,GPS,23.3,171.5,2W,22.2,23194418.66993438,94977403.24252547
G19,GPS,11.4,146.4,1C,41.1,24178863.966324545,127060915.57863015
G19,GPS,11.4,146.4,1W,25.6,24178862.536244303,127060915.57863015
G19,GPS,11.4,146.4,2W,25.6,24178864.310303237,99008333.0755379
R05,GLO,70.6,162.5,1C,40.0,19456771.95770663,104007857.2227674
R05,GLO,70.6,162.5,2C,40.6,19456779.547574136,80895160.16688992
R05,GLO,70.6,162.5,2P,37.3,19456779.0639937,80894853.13463776
R06,GLO,21.3,197.8,1C,48.4,22565287.83484501,120412839.24134924
R06,GLO,21.3,197.8,2C,47.4,22565295.409635525,93654583.26280816
R06,GLO,21.3,197.8,2P,47.5,22565294.820516177,93654493.28213464
R18,GLO,5.2,116.9,1C,36.5,24152153.150886126,128925848.51527122
R18,GLO,5.2,116.9,2C,36.9,24152162.569536448,100275691.00216554
R18,GLO,5.2,116.9,2P,35.9,24152160.47718554,100275678.99395508
C01,BDS,35.1,132.6,2I,43.4,38214871.79433701,198994937.4206351
C01,BDS,35.1,132.6,6I,39.3,38214870.19617627,161699632.73700756
C01,BDS,35.1,132.6,7I,39.3,38214868.18814481,153875501.07558402
C02,BDS,33.3,216.9,2I,37.4,37732598.40677205,196483594.48214313
C02,BDS,33.3,216.9,6I,40.1,37732592.34135556,159659017.6216206
C02,BDS,33.3,216.9,7I,41.8,37732589.88604013,151933571.80946124
C03,BDS,44.1,181.4,2I,44.9,36958789.185058475,192454161.76556212
